"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk","positionRank","vor"
"MONTEEBALL","Montee Ball","RB","DEN",13,205.074810893865,235.8,194.1,187.6,211.1,NA,222.7,210.1,213.8,190.7,207.2375,205.074810893865,13.3928357214262,16.668185049883,3.6826,3.85290838228648,8,87.0460567618847
"AARONRODGERS","Aaron Rodgers","QB","GB",14,405.011359353006,421.46,423.26,429.62,415.42,NA,376.74,413.2,410.08,379.08,407.1825,405.011359353006,23.348667110963,19.9230231139755,6.0739,4.50210580226362,3,84.0573550445245
"DEZBRYANT","Dez Bryant","WR","DAL",15,204.849928385825,199.5,205.3,205.5,197.8,NA,220.5,194.6,215.1,206.9,205.35,204.849928385825,13.00973008997,8.72664229324691,2.6826,2.77108962921244,3,80.8884604901887
"LEVEONBELL","Le'Veon Bell","RB","PIT",16,198.625171500076,205.3,187.5,197.1,201.8,NA,185.3,205.6,213.6,180,196.558333333333,198.625171500076,17.8344218593802,11.6961226786609,5.3326,3.41201847414479,9,80.5964173680951
"DOUGMARTIN","Doug Martin","RB","TB",17,193.880084483972,204.3,180.4,204.8,NA,NA,202.4,194.2,196.2,180.2,193.654285714286,193.880084483972,24.0019493502166,10.5725835919856,5.8739,3.32988726732163,10,75.8513303519916
"JULIOJONES","Julio Jones","WR","ATL",18,198.999030157372,194.2,201.3,194.6,197.7,NA,208.7,208.1,202.6,192.82,200.399166666667,198.999030157372,14.8084471842719,6.20359745861797,3.6326,2.55907051565811,4,75.0375622617359
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",19,193.031517749945,231.7,188.4,182.5,199.1,NA,163.4,201.4,213.1,176,193.533333333333,193.031517749945,16.8227090969677,21.6769133279757,4.7239,4.57786040139311,11,75.0027636179642
"ARIANFOSTER","Arian Foster","RB","HOU",20,192.697452048176,198,180.6,188.1,NA,NA,176.6,196.9,214.8,193.4,192.434285714286,192.697452048176,17.9019660113296,12.6581613048281,8.5152,3.86106570487291,12,74.6686979161953
"AJGREEN","A.J. Green","WR","CIN",21,198.25,193.4,194.8,199.6,196.6,NA,204.7,190.7,216.3,181.8,197.304166666667,198.25,15.0227257580806,10.1894816214705,3.2326,3.00835739015346,5,74.2885321043639
"ZACSTACY","Zac Stacy","RB","STL",22,190.549983163421,205.9,181.7,185.4,NA,NA,184,203.3,187.4,189.7,190.102857142857,190.549983163421,24.5064978340553,9.6157608717593,3.9913,3.01651412201433,13,72.5212290314407
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",23,195.475,188.3,195.8,195,192.6,NA,206,177.4,203,190.8,194.470833333333,195.475,15.8948017327557,8.85025221593793,2.2913,2.74566680258958,6,71.5135321043639
"ANDREELLINGTON","Andre Ellington","RB","ARI",24,187.675204994262,196,170,168.4,NA,NA,211,192.1,191.6,186,187.26,187.675204994262,30.3961012995668,14.915396327924,6.3152,3.91051385742348,14,69.6464508622816
"TOBYGERHART","Toby Gerhart","RB","JAC",25,184.125298048504,195.4,174.7,154.4,NA,NA,200.6,218.4,175.5,174.2,183.742857142857,184.125298048504,36.859713428857,21.2757966668589,8.8478,4.95681752486248,15,66.096543916523
"ALFREDMORRIS","Alfred Morris","RB","WAS",26,183.375112988678,206.2,186.1,188.9,NA,NA,172.8,183.6,192.3,175.3,184.92,183.375112988678,19.2565144951683,11.1742049892982,4.7326,3.28542542263326,16,65.3463588566971
"JORDYNELSON","Jordy Nelson","WR","GB",27,184.350435595247,187.2,192,188.6,185.3,NA,183.8,169.9,190,168.2,183.1125,184.350435595247,21.1740253248917,9.06685486499354,3.6826,2.91685514485225,7,60.3889676996113
"ANTONIOBROWN","Antonio Brown","WR","PIT",28,182.175003232918,185.5,171.5,190.2,185.5,NA,181,187.6,189.9,164.86,182.668333333333,182.175003232918,24.2869876707764,9.18491892801922,3.9326,2.95736159893568,8,58.2135353372821
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",29,181.425,182.5,169.6,190.9,186.6,NA,181.4,175.4,187.6,175.01,183.864166666667,181.425,25.3571142952349,7.29395627998178,4.2326,2.75566331049854,9,57.4635321043639
"FRANKGORE","Frank Gore","RB","SF",30,169.425237363148,171.1,149.1,173.3,NA,NA,196.2,174.8,178.5,161.3,171.305714285714,169.425237363148,45.4461512829057,14.5894776172026,8.9239,4.14134637351628,17,51.3964832311672
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",31,155.70250288596,161.4,162.3,140,140,NA,197.1,121.7,147.3,166,154.590833333333,155.70250288596,35.1753248917028,22.6893146657188,10.0652,5.25733493135924,2,49.9273637816831
"JULIUSTHOMAS","Julius Thomas","TE","DEN",32,155.599996787957,157.1,158.3,164.3,164.3,NA,169.5,155.5,146.8,128,155.416666666667,155.599996787957,33.9220926357881,13.0560057335422,8.4978,3.90825025078584,3,49.82485768368
"REGGIEBUSH","Reggie Bush","RB","DET",33,167.822810974377,180.6,154.5,184,NA,NA,173.3,144.6,192.4,137.5,165.242857142857,167.822810974377,38.8447850716428,21.1598676744445,8.4239,4.89851089300436,18,49.7940568423964
"RYANMATHEWS","Ryan Mathews","RB","SD",34,167.552020896949,179.8,167.9,166.1,NA,NA,162,160,183.1,159.1,167.445714285714,167.552020896949,42.1877040986338,9.56999278499007,6.5739,3.27913430080108,19,49.5232667649682
"CJSPILLER","C.J. Spiller","RB","BUF",35,167.459436852918,178.3,151.3,167.7,NA,NA,182.6,153,180,160.9,166.617142857143,167.459436852918,33.5558647117627,13.0188873783987,11.3391,4.19880691095227,20,49.4306827209371
"RANDALLCOBB","Randall Cobb","WR","GB",36,170.974986474609,169.2,157.3,183.6,175.8,NA,165.6,163.1,179.3,161.26,171.689166666667,170.974986474609,29.6149616794402,9.31549707285048,2.6913,2.84450685165177,10,47.0135185789732
"BISHOPSANKEY","Bishop Sankey","RB","TEN",37,164.550046590648,191.3,165,129.6,NA,NA,190.1,191.4,169.6,133.2,166.422857142857,164.550046590648,47.2103965344885,26.6808741914325,9.7826,5.71951509758848,21,46.5212924586672
"VINCENTJACKSON","Vincent Jackson","WR","TB",38,169.424058965316,169.5,161.8,172.7,NA,NA,177.9,160.9,182.2,153,169.211428571429,169.424058965316,34.2941186271243,10.3058929051018,5.4652,3.25459416900562,11,45.4625910696794
"RASHADJENNINGS","Rashad Jennings","RB","NYG",39,163.175507013784,165.9,150.3,159.8,NA,NA,159.2,188.3,184.5,149.5,164.597142857143,163.175507013784,48.2188603798734,15.4923483417737,12.0391,4.57610659232386,22,45.1467528818035
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",40,365.872142215395,393.82,399.28,355.24,376.3,NA,362.96,329.06,361.58,354.92,365.595,365.872142215395,48.7116794401866,22.7287049470802,7.0739,4.95147745363958,4,44.918137906913
"RAYRICE","Ray Rice","RB","BAL",41,161.971113910526,169.3,152.3,165.1,NA,NA,144.5,184.3,161.5,146.1,160.142857142857,161.971113910526,61.0039320226591,14.1221878785191,14.0478,4.61602532376653,23,43.9423597785457
"JOIQUEBELL","Joique Bell","RB","DET",42,161.550082376204,185,155.2,164.9,NA,NA,151.3,170.2,166.3,144.1,161.314285714286,161.550082376204,54.6415194935022,13.5584800384254,10.4978,4.17786782027214,24,43.5213282442232
"TRENTRICHARDSON","Trent Richardson","RB","IND",43,161.000197776731,172,143.3,173.3,NA,NA,169.3,177.4,159.2,144.2,161.671428571429,161.000197776731,62.580523158947,14.0792654029148,13.8565,4.59086926050464,25,42.9714436447507
"ANDREJOHNSON","Andre Johnson","WR","HOU",44,166.650338494087,164.4,157.9,178.7,NA,NA,178,144.9,182.2,150,165.865714285714,166.650338494087,43.9921859380207,14.9004314415005,8.9152,4.17873459384372,12,42.6888705984511
"CHRISJOHNSON","Chris Johnson","RB","NYJ",45,159.052909472184,164,147.1,161.2,NA,NA,178,175.9,163.4,141.3,160.602857142857,159.052909472184,55.8208263912029,13.5704160023262,12.5304,4.39046503841636,26,41.0241553402033
"BENTATE","Ben Tate","RB","CLE",46,155.224870834694,166.7,140.6,175.7,NA,NA,174.6,142.2,158.9,124.6,153.38,155.224870834694,56.8467677440853,19.4066017240575,10.3739,4.88515552838896,27,37.1961167027135
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",47,160.937178067739,175.1,164.1,154.8,NA,NA,157.5,146.4,175.8,155.12,161.975428571429,160.937178067739,42.4675441519494,10.9955384891631,9.8804,3.79812891174345,13,36.9757101721029
"NICKFOLES","Nick Foles","QB","PHI",48,357.546410679322,343.3,376.7,338.06,366.64,NA,367.3,368.3,359.94,354.74,359.1625,357.546410679322,66.920793068977,13.2553727651416,9.9152,4.08002716412083,5,36.5924063708399
"MICHAELCRABTREE","Michael Crabtree","WR","SF",49,156.700325379119,171.4,168.5,141.5,NA,NA,161.6,151.6,170,127.48,155.924571428571,156.700325379119,47.1526157947351,16.6521744611842,12.8717,4.8054141245177,14,32.7388574834829
"PIERREGARCON","Pierre Garcon","WR","WAS",50,156.535619533685,167.6,154.3,150.8,NA,NA,158.2,142,178.9,147.35,157.098571428571,156.535619533685,37.2143118960347,12.6310416944017,5.5326,3.5479216507265,15,32.5741516380486
"KEENANALLEN","Keenan Allen","WR","SD",51,156.303804326021,159.3,152.9,152.5,NA,NA,160.2,160.9,176.9,151.1,158.622857142857,156.303804326021,35.0071309563479,8.82542323280279,4.1413,2.93476989037523,16,32.3423364303847
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",52,156.30029881332,131.5,135.9,139.8,NA,NA,176.6,159.6,177.6,139.07,156.625428571429,156.30029881332,53.2805064978341,19.6280347365458,8.3152,4.69858512429921,17,32.3388309176837
"VERNONDAVIS","Vernon Davis","TE","SF",53,137.421958824085,126.2,151.5,149.5,149.5,NA,152.5,125.7,133.9,101.7,136.170833333333,137.421958824085,59.0233588803732,17.9652392533072,9.6152,4.6288547051213,4,31.6468197198072
"ANDREWLUCK","Andrew Luck","QB","IND",54,352.43833984927,370.58,346.36,335.34,352.46,NA,362,344.1,373,342.48,352.6,352.43833984927,54.4544818393869,13.8126277628222,9.3978,4.09490676047368,6,31.4843355407876
"VICTORCRUZ","Victor Cruz","WR","NYG",55,154.850120934632,152.3,143.1,146.2,NA,NA,177.9,164.6,178.2,151.5,159.371428571429,154.850120934632,38.1447517494169,14.5768570653883,8.2652,4.07137267164751,18,30.8886530389958
"RODDYWHITE","Roddy White","WR","ATL",56,154.647637253403,160.1,145.6,142.4,NA,NA,161.6,159.9,168.1,147.3,154.548571428571,154.647637253403,46.9051649450183,9.76046446982247,9.6978,3.62707099198294,19,30.686169357767
"SHANEVEREEN","Shane Vereen","RB","NE",57,145.321091245192,180.6,159.4,148.3,NA,NA,110.5,138,161.6,136,147.228571428571,145.321091245192,54.4071809396868,22.4635047937549,8.5152,5.06852851647527,28,27.2923371132117
"WESWELKER","Wes Welker","WR","DEN",58,149.364290191794,155.3,143.8,135.8,NA,NA,160.3,144.7,167.6,142.8,149.694285714286,149.364290191794,47.198683772076,11.2837430466516,11.3978,3.99123263541898,20,25.4028222961578
"TOMBRADY","Tom Brady","QB","NE",59,344.313624020921,353.42,371.28,317.58,NA,NA,347.5,323.84,352.68,352,344.534285714286,344.313624020921,72.9493502165945,18.5912770124158,9.0565,4.64791458508193,7,23.3596197124394
"JORDANCAMERON","Jordan Cameron","TE","CLE",60,128.850000015079,108.4,134,129.9,129.9,NA,124.9,120.5,130,130.3,126.679166666667,128.850000015079,61.7896534488504,8.19519676395875,13.5391,3.83331682803215,5,23.074860910802
"MICHAELFLOYD","Michael Floyd","WR","ARI",61,146.25,155.8,149.8,137.6,NA,NA,134.7,159.7,153.4,142.5,147.54,146.25,54.9447184271909,9.52660435182391,7.6652,3.38714529081596,21,22.2885321043639
"MATTRYAN","Matt Ryan","QB","ATL",62,343.025103728766,370.98,348.64,323.68,352.48,NA,322.76,338.4,347.48,348.92,342.6825,343.025103728766,73.2344051982672,15.8242704638882,15.1543,4.94055828949923,8,22.0710994202843
"LAMARMILLER","Lamar Miller","RB","MIA",63,140.000209053056,156.6,134.4,84.1,NA,NA,148,122.7,150.5,147.4,134.34,140.000209053056,74.0077474175275,25.0725233786196,12.8478,5.8398415622261,29,21.9714549210752
"TORREYSMITH","Torrey Smith","WR","BAL",64,144.562961190081,137.3,140.5,142.8,NA,NA,168,147.8,151.9,137.7,146.72,144.562961190081,59.5077807397534,10.8384676477988,10.8804,3.88265728369357,22,20.601493294445
"DESEANJACKSON","DeSean Jackson","WR","WAS",65,144.532377044468,136.6,141.3,147.7,NA,NA,152.6,132.2,155.9,141.83,144.363142857143,144.532377044468,54.838937020993,8.51720303967492,7.8739,3.28452202962466,23,20.5709091488314
"PIERRETHOMAS","Pierre Thomas","RB","NO",66,138.375146924521,149.7,132.5,120.9,NA,NA,148.6,137.1,140.3,128.4,136.471428571429,138.375146924521,80.6403198933689,10.4868852336984,10.9652,3.84817047558754,30,20.3463927925406
"JASONWITTEN","Jason Witten","TE","DAL",67,125.842612859011,128.2,129.3,123.8,123.8,NA,126,110.4,131.8,121.8,124.429166666667,125.842612859011,75.0109963345551,6.53833475959831,7.5739,3.0096763868713,6,20.0674737547333
"PERCYHARVIN","Percy Harvin","WR","SEA",68,144.024934607867,132.8,113.8,129.7,NA,NA,132.9,169.2,157.2,131,142.708571428571,144.024934607867,50.3994001999334,18.7020879914007,9.8152,4.7403668448553,24,20.0634667122304
"FREDJACKSON","Fred Jackson","RB","BUF",69,138.01029354235,149.9,134.2,114.9,NA,NA,168,132.4,146.6,122.6,137.782857142857,138.01029354235,93.5032989003665,17.9405234302788,14.013,5.0826132450643,31,19.9815394103689
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",70,339.903757421687,363.14,393.14,316.52,354.24,NA,348.4,331.22,350.54,314.14,345.6825,339.903757421687,87.4129623458847,25.9433788690459,11.9891,5.85788793662174,9,18.9497531132055
"TONYROMO","Tony Romo","QB","DAL",71,339.779683079201,363.94,346.28,327.06,NA,NA,322.54,322.16,353.68,340.98,338.82,339.779683079201,85.1934355214928,16.2768383498352,12.9565,4.76800220663881,10,18.8256787707188
"STEVANRIDLEY","Stevan Ridley","RB","NE",72,136.175084846678,170,128.2,164.7,NA,NA,131.8,141.5,130.4,131.64,141.377142857143,136.175084846678,71.0675274908364,17.480185789576,12.8891,4.90918555896033,32,18.1463307146976
"STEVENJACKSON","Steven Jackson","RB","ATL",73,136.071401187488,148.9,115.4,151.8,NA,NA,78,122,148.5,149,130.097142857143,136.071401187488,75.3591302899034,27.4317594873429,14.8565,6.33901066826972,33,18.0426470555069
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",74,338.788738389585,360.32,339.8,337.86,352.2,NA,318.96,324.88,355.2,334.48,339.9675,338.788738389585,70.018127290903,14.6260879937186,11.4891,4.41230356350066,11,17.8347340811031
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",75,135.602771350117,148.8,131.1,123.9,NA,NA,128.5,139.4,152,124.4,134.9,135.602771350117,83.9350216594468,11.4779291312875,13.2565,4.20820964583037,34,17.5740172181359
"DENNISPITTA","Dennis Pitta","TE","BAL",76,122.528518102914,128.8,120.8,128,128,NA,130.5,104.5,129.2,101.9,121.5875,122.528518102914,97.302649116961,11.6601810204032,15.2043,4.4329719100163,7,16.7533789986363
"MIKEWALLACE","Mike Wallace","WR","MIA",77,140.175300407678,132.4,134.7,131.7,NA,NA,133.3,139.5,153.4,147.41,139.750571428571,140.175300407678,66.0642452515828,8.42732036720027,9.4652,3.43874286391736,25,16.2138325120416
"CAMNEWTON","Cam Newton","QB","CAR",78,336.145878033662,342.94,334.1,336.3,340.62,NA,344.36,349.2,358.14,312.84,339.2725,336.145878033662,77.7915361546151,13.2429040298137,17.5543,4.87196963046993,12,15.1918737251796
"MARQUESCOLSTON","Marques Colston","WR","NO",79,135.975297607784,128.5,133.8,126.7,NA,NA,133.5,148.7,138.7,139.6,135.294285714286,135.975297607784,74.6512662445851,7.46633715259299,11.0565,3.48569346224334,26,12.0138297121474
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",80,135.875288832477,132.6,134.7,129.5,NA,NA,164.4,156,141.7,115,138.871428571429,135.875288832477,66.7428857047651,16.6685046605581,12.2978,4.74781374200159,27,11.9138209368412
"GREGOLSEN","Greg Olsen","TE","CAR",81,117.565737348421,106.7,116.1,114.2,114.2,NA,115.1,117.4,125.1,121.3,116.220833333333,117.565737348421,83.1708263912029,5.42611081451795,12.9717,3.43338613823685,8,11.7905982441433
"TYHILTON","T.Y. Hilton","WR","IND",82,135.69470801435,126.5,126.9,141.3,NA,NA,127.3,148.8,150.3,136.56,137.166285714286,135.69470801435,62.9012662445851,10.3352720147584,12.1065,3.94804783334951,28,11.7332401187134
"JORDANREED","Jordan Reed","TE","WAS",83,117.474611744432,118.5,115.5,104.9,104.9,NA,142.5,120.5,129,102.9,118.104166666667,117.474611744432,80.0227257580806,13.6367085995328,8.6239,3.99285802785995,9,11.6994726401547
"JULIANEDELMAN","Julian Edelman","WR","NE",84,135.512110522866,140.4,129.1,138.9,NA,NA,123.1,130.6,150.6,138.67,136.816857142857,135.512110522866,75.6532489170277,9.04785609965145,12.3978,3.81976863519469,29,11.5506426272299
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",85,133.29186390436,141.8,150.6,129,NA,NA,126.3,120.5,146.9,133.02,135.486857142857,133.29186390436,77.0091302899034,11.2225945561367,12.1978,4.06679908646341,30,9.33039600872345
"ERICDECKER","Eric Decker","WR","NYJ",86,132.925407400283,124.5,130.8,130.7,NA,NA,166.2,119.7,150.3,135.8,137.177142857143,132.925407400283,85.5214261912696,16.1477405171598,10.4978,4.49671802079333,31,8.96393950464667
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",87,114.500220177924,110.8,118.7,105.6,105.6,NA,137.5,110.5,114.2,99.3,112.9,114.500220177924,100.018827057647,11.600954394236,15.8456,4.49229076148852,10,8.72508107364685
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",88,125.766303980096,130.4,121.2,126.4,NA,NA,150.8,124.2,139.1,91.1,125.451428571429,125.766303980096,112.697630747631,18.4853738836694,13.0391,5.04854837496124,35,7.73754984811529
"DANNYWOODHEAD","Danny Woodhead","RB","SD",89,125.361538359738,135.5,108.9,127.9,NA,NA,125,115.1,137,120.6,123.96,125.361538359738,104.120109963346,10.2929471923624,14.3217,4.17292996842474,36,7.33278422775774
"KENDALLWRIGHT","Kendall Wright","WR","TEN",90,130.920464605095,136.5,128.8,129.9,NA,NA,121.8,126.5,152,138.99,133.303714285714,130.920464605095,82.9051649450183,10.0193985657348,10.0478,3.69531171344959,32,6.95899670945849
"JAYCUTLER","Jay Cutler","QB","CHI",91,327.525420833131,356.98,336.68,307.72,NA,NA,328.84,312.66,335.54,315.18,327.94,327.525420833131,92.6812062645785,17.2378630870976,14.1891,5.01437691173241,13,6.57141652464855
"GOLDENTATE","Golden Tate","WR","DET",92,129.330043337051,146.6,136.5,139.1,NA,NA,117.4,102.5,137.3,122.27,129.139714285714,129.330043337051,81.6149783405531,15.3772570159094,13.2891,4.691772112552,33,5.368575441415
"RUSSELLWILSON","Russell Wilson","QB","SEA",93,324.84669369821,331.74,319,328.26,NA,NA,342.88,330.14,340.58,307.84,327.154285714286,324.84669369821,106.987434187434,12.1306428204813,17.1304,4.6909713151141,14,3.89268938972845
"REGGIEWAYNE","Reggie Wayne","WR","IND",94,127.507084132726,117.3,120.8,134.8,NA,NA,146,111.4,141.8,113.36,127.149142857143,127.507084132726,87.5032655781406,14.1481999528124,14.413,4.65716208113392,34,3.54561623708948
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",95,126.83086262946,137.5,131.3,130.7,NA,NA,120,109.5,136,133.56,128.494857142857,126.83086262946,83.8577307564145,10.0718863793281,10.9652,3.79706612783311,35,2.86939473382377
"SAMMYWATKINS","Sammy Watkins","WR","BUF",96,126.603541057448,118.3,128.9,129.5,NA,NA,150,112.2,136.7,116.5,127.534285714286,126.603541057448,86.8440686437854,13.1438017258906,11.2065,4.200416040045,36,2.64207316181235
"PHILIPRIVERS","Philip Rivers","QB","SD",97,320.811862219307,323.18,335.44,324.18,NA,NA,306.6,321.26,334.02,316.95,321.955714285714,320.811862219307,104.835671442852,9.88392803157394,15.3065,4.22485374802023,15,-0.142142089174797
"BERNARDPIERCE","Bernard Pierce","RB","BAL",98,115.99999852903,141.2,107.5,81.6,NA,NA,117,92.3,132.5,115.1,112.391428571429,115.99999852903,96.5363712095968,20.970364576616,11.7239,5.21794783067014,37,-2.02875560295092
"ZACHERTZ","Zach Ertz","TE","PHI",99,102.35,110.6,119.2,88.6,NA,NA,106.4,97.1,106.1,97.4,103.382857142857,102.35,114.976201420811,10.1006128998384,18.3108,4.56359549445412,11,-3.42513910427729
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",100,317.203457007928,340.84,334.74,295.76,NA,NA,322.84,311.68,323.96,284.74,315.68,317.203457007928,113.424953652206,20.3426144314039,15.2304,5.5048668393996,16,-3.75054730055371
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",101,100.475197134908,104.3,98.2,103.5,NA,NA,85.7,101.2,113.7,108.8,102.057142857143,100.475197134908,128.020160041301,8.8615273326141,13.7304,3.93524145015802,12,-5.29994196936956
"TERRANCEWEST","Terrance West","RB","CLE",102,112.724725507174,151.9,126.5,89.7,NA,NA,88.1,100.2,130.9,104,112.922857142857,112.724725507174,98.5512995668111,23.8872251174037,17.1891,6.14481340779076,38,-5.3040286248068
"DWAYNEBOWE","Dwayne Bowe","WR","KC",103,118.45,110.2,101.7,103.3,NA,NA,120.6,124.4,142.8,119.7,118.122857142857,118.45,105.447934021993,14.1816447430842,12.0391,4.41470216480552,37,-5.51146789563613
"CHARLESCLAY","Charles Clay","TE","MIA",104,98.949459321401,83.1,99.8,98.4,NA,NA,105.4,100.7,112.5,93.19,99.8453571428571,98.949459321401,131.916666666667,9.25261172910243,17.713,4.39707594710372,13,-6.82567978287628
"RUEBENRANDLE","Rueben Randle","WR","NYG",105,116.499993020083,120.2,128,97.5,NA,NA,109,108.7,127,128.1,116.557142857143,116.499993020083,109.244168610463,12.0246572072713,15.5804,4.51692046045466,38,-7.46147487555331
"CECILSHORTS","Cecil Shorts","WR","JAC",106,116.134649784694,98.2,104.2,118.2,NA,NA,138,118,121.5,117.8,116.557142857143,116.134649784694,110.309630123292,12.7817392064952,15.0978,4.56002211942981,39,-7.82681811094172
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",107,109.025297457119,115.9,93.9,131,NA,NA,95,120.2,125.1,88,109.28,109.025297457119,109.370109963346,17.2044291085866,17.1891,5.32187154274707,39,-9.00345667486216
"LADARIUSGREEN","Ladarius Green","TE","SD",108,96.1463066375623,97.1,109.5,82.4,NA,NA,109.5,88.4,104,87.7,97.0514285714286,96.1463066375623,127.55,11.0687031975833,19.37495,4.79334327357154,14,-9.62883246671502
"RILEYCOOPER","Riley Cooper","WR","PHI",109,113.75037279736,108.3,114.6,111.6,NA,NA,111.2,NA,140.5,96.2,114.511666666667,113.75037279736,104.160446517827,14.5952960458727,16.0891,4.88631650462281,40,-10.2110950982761
"HEATHMILLER","Heath Miller","TE","PIT",110,95.5002704542579,105.3,102.5,75.2,NA,NA,93.3,98.2,98.7,93.8,94.9028571428572,95.5002704542579,146.5,9.84943798251598,10.35,3.7057718940692,15,-10.2748686500194
"DARRENMCFADDEN","Darren McFadden","RB","OAK",111,107.250085034515,106.5,80.6,80.6,NA,NA,122.4,114,127.7,113.4,105.662857142857,107.250085034515,108.9883038987,18.9196420986988,14.8478,5.28989637231327,40,-10.778669097466
"JEREMYHILL","Jeremy Hill","RB","CIN",112,107.18315146583,135.3,88.9,97.4,NA,NA,115.8,104.2,85.1,115.47,105.538571428571,107.18315146583,108.6553001053,17.5623971950897,16.5891,5.30363057028465,41,-10.8456026661503
"DELANIEWALKER","Delanie Walker","TE","TEN",113,94.8144941227852,94.7,96.4,89.8,NA,NA,98.5,93.6,103,93.9,95.5571428571428,94.8144941227852,151.7,4.18489346738161,15.2,3.51199334049782,16,-10.9606449814921
"BRIANHARTLINE","Brian Hartline","WR","MIA",114,112.499763141538,97.6,NA,90.6,NA,NA,108.5,126,127.8,115.6,110.6,112.499763141538,125.4,15.0357462956338,16.9,5.0247836927366,41,-11.4617047540982
