"name","name_espn","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",34,125,235,143,1550,10,7,61,1,0,0,0,NA,NA,98
"DANNYAMENDOLA","Danny Amendola","WR","NE",41,125,0,0,0,0,0,0,0,65,767,4,NA,NA,98
"JAMESJONES","James Jones","WR","OAK",53,125,0,0,0,0,0,0,0,57,703,5,NA,NA,98
"DARRENSPROLES","Darren Sproles","RB","PHI",34,128,0,0,0,0,0,176,1,73,598,3,NA,NA,96
"KHIRYROBINSON","Khiry Robinson","RB","NO",36,128,0,0,0,0,0,733,4,4,34,0,NA,NA,96
"JUSTINHUNTER","Justin Hunter","WR","TEN",45,128,0,0,0,0,0,0,0,43,722,4,NA,NA,96
"STEVESMITH","Steve Smith","WR","BAL",43,131,0,0,0,0,0,0,0,56,676,5,NA,NA,95
"RUEBENRANDLE","Rueben Randle","WR","NYG",48,131,0,0,0,0,0,0,0,43,675,5,NA,NA,95
"JEREMYHILL","Jeremy Hill","RB","CIN",47,133,0,0,0,0,0,509,7,7,45,0,NA,NA,92
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",50,133,0,0,0,0,0,0,0,50,680,4,NA,NA,92
"CHRISIVORY","Chris Ivory","RB","NYJ",38,135,0,0,0,0,0,607,5,2,11,0,NA,NA,91
"MARKUSWHEATON","Markus Wheaton","WR","PIT",52,136,0,0,0,0,0,0,0,60,666,4,NA,NA,90
"BRANDINCOOKS","Brandin Cooks","WR","NO",51,137,0,0,0,0,0,52,0,47,566,5,NA,NA,89
"AARONDOBSON","Aaron Dobson","WR","NE",65,137,0,0,0,0,0,0,0,43,612,5,NA,NA,89
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",67,137,0,0,0,0,0,0,0,47,691,4,NA,NA,89
"BRIANHARTLINE","Brian Hartline","WR","MIA",64,140,0,0,0,0,0,0,0,59,786,2,NA,NA,88
"MIKEWILLIAMS","Mike Williams","WR","BUF",69,140,0,0,0,0,0,0,0,51,704,3,NA,NA,88
"ZACHERTZ","Zach Ertz","TE","PHI",13,140,0,0,0,0,0,0,0,50,646,4,NA,NA,88
"TERRANCEWEST","Terrance West","RB","CLE",48,143,0,0,0,0,0,517,5,10,80,0,NA,NA,87
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",66,143,0,0,0,0,0,0,0,59,699,3,NA,NA,87
"DELANIEWALKER","Delanie Walker","TE","TEN",12,143,0,0,0,0,0,0,0,55,598,5,NA,NA,87
"ROYHELU","Roy Helu","RB","WAS",55,146,0,0,0,0,0,216,2,52,395,3,NA,NA,86
"MALCOMFLOYD","Malcom Floyd","WR","SD",77,146,0,0,0,0,0,0,0,39,628,4,NA,NA,86
"CHARLESCLAY","Charles Clay","TE","MIA",14,146,0,0,0,0,0,0,0,62,684,5,NA,NA,86
"BRANDONLAFELL","Brandon LaFell","WR","NE",56,149,0,0,0,0,0,12,0,42,609,4,NA,NA,85
"DENARIUSMOORE","Denarius Moore","WR","OAK",60,149,0,0,0,0,0,0,0,43,671,3,NA,NA,85
"TAVONAUSTIN","Tavon Austin","WR","STL",49,151,0,0,0,0,0,121,1,46,524,3,NA,NA,84
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",55,151,0,0,0,0,0,25,0,62,645,3,NA,NA,84
"ANTONIOGATES","Antonio Gates","TE","SD",15,151,0,0,0,0,0,0,0,54,604,4,NA,NA,84
"SHONNGREENE","Shonn Greene","RB","TEN",41,154,0,0,0,0,0,519,5,6,41,0,NA,NA,83
"DOUGBALDWIN","Doug Baldwin","WR","SEA",57,154,0,0,0,0,0,14,0,52,646,3,NA,NA,83
"LAMARMILLER","Lamar Miller","RB","MIA",37,156,0,0,0,0,0,470,3,21,191,0,NA,NA,82
"KENNYSTILLS","Kenny Stills","WR","NO",59,156,0,0,0,0,0,24,0,34,563,4,NA,NA,82
"MARQISELEE","Marqise Lee","WR","JAC",62,156,0,0,0,0,0,17,0,43,597,4,NA,NA,82
"DONNIEAVERY","Donnie Avery","WR","KC",82,156,0,0,0,0,0,12,0,43,632,3,NA,NA,82
"LADARIUSGREEN","Ladarius Green","TE","SD",16,156,0,0,0,0,0,0,0,38,584,4,NA,NA,82
