player,pos,team,overallRank,projections,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk,positionRank,vor
Kenbrell Thompkins,WR,NE,221,63.1,59.02,63.1,159,19.8784976,29.2,6.898744687,88,-60.8614679
Lance Kendricks,TE,STL,222,44.75013531,46.18666667,44.75013531,NA,7.994748276,NA,3.185875918,45,-61.02500379
Rob Housler,TE,ARI,223,44.25000579,44.6,44.25000579,NA,19.5263924,NA,6.025966415,46,-61.52513331
John Carlson,TE,ARI,224,44.10045416,43.16666667,44.10045416,NA,10.57443458,NA,3.821218327,47,-61.67468494
Brandon Gibson,WR,MIA,225,61.90023378,61.43,61.90023378,191,15.17911943,6,3.910249589,89,-62.06123412
Marlon Brown,WR,BAL,226,61.5246507,54.73428571,61.5246507,191.6,23.242623,22.3,6.5963072,90,-62.4368172
Jordan Todman,RB,JAC,227,55.525,50.96571429,55.525,183.8,20.2077425,25.8,6.586128963,67,-62.50375413
Brandon Myers,TE,TB,228,42.95026997,45.39,42.95026997,182.5,10.46016252,15.5,4.315912153,48,-62.82486913
Denarius Moore,WR,OAK,229,60.82520488,62.32,60.82520488,178.6,23.40249274,18,6.169350512,91,-63.13626301
Gavin Escobar,TE,DAL,230,42.45012269,41.92,42.45012269,175,11.2722225,14.1,4.270493094,49,-63.32501641
Austin Pettis,WR,STL,231,60.55000103,43.98333333,60.55000103,NA,25.65612987,NA,7.535639188,92,-63.41146687
Tre Mason,RB,STL,232,54.47886396,59.30428571,54.47886396,145.7932027,29.64383715,24.1847,7.580339055,68,-63.54989017
Brian Quick,WR,STL,233,60.34992645,58.69666667,60.34992645,193.7,15.75991751,29.1,6.381181892,93,-63.61154144
Troy Niklas,TE,ARI,234,42.07476383,40.325,42.07476383,NA,20.54724231,NA,6.277388166,50,-63.70037527
Ka'Deem Carey,RB,CHI,235,54.3,53.88333333,54.3,187.8,8.574069434,32.5,5.849452555,69,-63.72875413
Ryan Griffin,TE,HOU,236,42.00016655,42.3,42.00016655,NA,22.39151625,NA,6.731608295,51,-63.77497255
C.J. Anderson,RB,DEN,237,53.24138382,55.11714286,53.24138382,159.05,20.01219533,15.09235,5.449838589,70,-64.78737031
Allen Robinson,WR,JAC,238,57.875,57.89428571,57.875,172.8,20.82437903,18.8,5.934969441,94,-66.0864679
Bobby Rainey,RB,TB,239,51.69970369,52.16,51.69970369,173,16.54195244,11,4.597426412,71,-66.32905044
Jerrel Jernigan,WR,NYG,240,57.53205561,52.99266667,57.53205561,187.3,24.47446152,63.1,10.98592044,95,-66.42941228
Joseph Fauria,TE,DET,241,39.10029934,42.56,39.10029934,NA,21.26057384,NA,6.453072228,52,-66.67483976
Latavius Murray,RB,OAK,242,51.09503985,51.82833333,51.09503985,184.8,17.63983418,23.6,6.041392817,72,-66.93371428
Bilal Powell,RB,NYJ,243,50.8751735,52.82857143,50.8751735,190,10.30362858,8,3.517606532,73,-67.15358063
Ben Watson,TE,NO,244,38.35,38.35,38.35,NA,1.626345597,NA,1.617423082,53,-67.4251391
Ted Ginn,WR,ARI,245,56.17153203,55.31714286,56.17153203,NA,20.21227821,NA,6.194890965,96,-67.78993586
John Brown,WR,ARI,246,55.09962624,51.08,55.09962624,168.4,25.18579917,27.1,7.334175302,97,-68.86184166
Michael Bush,RB,NA,247,49.1,49.1,49.1,NA,NA,NA,NA,74,-68.92875413
C.J. Fiedorowicz,TE,HOU,248,36.58767374,39,36.58767374,NA,14.32119641,NA,4.743995909,54,-69.18746537
Daniel Thomas,RB,MIA,249,48.41095707,44.95166667,48.41095707,237.5,11.67236123,54.5,8.516139798,75,-69.61779706
Robert Turbin,RB,SEA,250,47.74970403,46.77428571,47.74970403,172.6,22.59542642,16.3,5.893385642,76,-70.2790501
Greg Little,WR,OAK,251,53.5502981,53.1,53.5502981,NA,18.65140745,NA,5.810469267,98,-70.4111698
Clay Harbor,TE,JAC,252,35.35,32.26666667,35.35,NA,11.79590324,NA,4.122049805,55,-70.4251391
Josh Gordon,WR,CLE,253,53.4632501,42.8,53.4632501,118.8668444,9.90420786,17.8804,4.494703614,99,-70.49821779
Benny Cunningham,RB,STL,254,46.55013531,47.31714286,46.55013531,185.7,20.87653045,6.9,4.705331391,77,-71.47861882
Cole Beasley,WR,DAL,255,52.37524638,52.2,52.37524638,NA,12.28805072,NA,4.24325918,100,-71.58622151
David Ausberry,TE,OAK,256,33.975,34.695,33.975,NA,20.61928143,NA,6.295130441,56,-71.8001391
Jacoby Jones,WR,BAL,257,52.1502298,44.37314286,52.1502298,NA,14.79067499,NA,4.859622236,101,-71.8112381
Chris Polk,RB,PHI,258,45.95001387,45.94714286,45.95001387,171.1,10.80988591,29.5,5.813166675,78,-72.07874026
Tiquan Underwood,WR,CAR,259,51.60020908,51.14666667,51.60020908,NA,18.0481301,NA,5.661890082,102,-72.36125882
Larry Donnell,TE,NYG,260,32.9,32.9,32.9,NA,20.78893937,NA,6.336914934,57,-72.8751391
Benjamin Watson,TE,NO,261,32.4,32.4,32.4,NA,NA,NA,NA,58,-73.3751391
Kris Durham,WR,DET,262,49.9,40.76,49.9,NA,22.57449889,NA,6.776674483,103,-74.0614679
Tim Wright,TE,TB,263,31.55,32.83333333,31.55,183.5,8.619358058,35.2,6.135480171,59,-74.2251391
Martavis Bryant,WR,PIT,264,49.59969954,48.98333333,49.59969954,NA,21.30327831,NA,6.463589771,104,-74.36176836
Matt Asiata,RB,MIN,265,43.55,42.44666667,43.55,NA,14.80333296,NA,4.862739725,79,-74.47875413
