player,pos,team,overallRank,projections,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk,positionRank,vor
Jamaal Charles,RB,KC,1,264.5368411,260.5083333,264.5368411,2.070776408,15.95348148,1.1913,3.506124565,1,146.508087
LeSean McCoy,RB,PHI,2,253.800425,254.9541667,253.800425,1.7038987,16.23263358,1.009417669,3.521608061,2,135.7716709
Matt Forte,RB,CHI,3,241.9454824,239.1791667,241.9454824,4.101299567,10.06818717,1.291973226,2.791846716,3,123.9167282
Peyton Manning,QB,DEN,4,443.704599,447.8675,443.704599,17.96687771,12.60893759,7.9565,3.796971627,1,122.7505947
Adrian Peterson,RB,MIN,5,237.8111748,239.6791667,237.8111748,2.879223592,12.05101507,1.2913,3.035948851,4,119.7824207
Calvin Johnson,WR,DET,6,228.925279,228.0791667,228.925279,5.904548484,11.37866895,1.4413,2.96873449,1,104.9638111
Eddie Lacy,RB,GB,7,221.1009099,222.8875,221.1009099,6.024025325,17.04879028,1.4413,3.666972206,5,103.0721558
Demaryius Thomas,WR,DEN,8,219.67489,218.8791667,219.67489,9.929890037,10.53605205,2.0413,2.927294186,2,95.71342215
Drew Brees,QB,NO,9,412.8766919,413.11,412.8766919,24.77472509,6.835434985,4.9826,2.777102414,2,91.92268757
DeMarco Murray,RB,DAL,10,209.7253703,206.75,209.7253703,14.23115628,14.74923727,3.0413,3.549990514,6,91.69661619
Marshawn Lynch,RB,SEA,11,208.8255662,210.8833333,208.8255662,10.04480173,16.8942932,2.8413,3.79336576,7,90.79681204
Jimmy Graham,TE,NO,12,194.8120612,195.325,194.8120612,9.664945018,12.67322825,3.9239,3.386020009,1,89.0369221
Montee Ball,RB,DEN,13,205.0748109,207.2375,205.0748109,13.39283572,16.66818505,3.6826,3.852908382,8,87.04605676
Aaron Rodgers,QB,GB,14,405.0113594,407.1825,405.0113594,23.34866711,19.92302311,6.0739,4.502105802,3,84.05735504
Dez Bryant,WR,DAL,15,204.8499284,205.35,204.8499284,13.00973009,8.726642293,2.6826,2.771089629,3,80.88846049
Le'Veon Bell,RB,PIT,16,198.6251715,196.5583333,198.6251715,17.83442186,11.69612268,5.3326,3.412018474,9,80.59641737
Doug Martin,RB,TB,17,193.8800845,193.6542857,193.8800845,24.00194935,10.57258359,5.8739,3.329887267,10,75.85133035
Julio Jones,WR,ATL,18,198.9990302,200.3991667,198.9990302,14.80844718,6.203597459,3.6326,2.559070516,4,75.03756226
Giovani Bernard,RB,CIN,19,193.0315177,193.5333333,193.0315177,16.8227091,21.67691333,4.7239,4.577860401,11,75.00276362
Arian Foster,RB,HOU,20,192.697452,192.4342857,192.697452,17.90196601,12.6581613,8.5152,3.861065705,12,74.66869792
A.J. Green,WR,CIN,21,198.25,197.3041667,198.25,15.02272576,10.18948162,3.2326,3.00835739,5,74.2885321
Zac Stacy,RB,STL,22,190.5499832,190.1028571,190.5499832,24.50649783,9.615760872,3.9913,3.016514122,13,72.52122903
Brandon Marshall,WR,CHI,23,195.475,194.4708333,195.475,15.89480173,8.850252216,2.2913,2.745666803,6,71.5135321
Andre Ellington,RB,ARI,24,187.675205,187.26,187.675205,30.3961013,14.91539633,6.3152,3.910513857,14,69.64645086
Toby Gerhart,RB,JAC,25,184.125298,183.7428571,184.125298,36.85971343,21.27579667,8.8478,4.956817525,15,66.09654392
Alfred Morris,RB,WAS,26,183.375113,184.92,183.375113,19.2565145,11.17420499,4.7326,3.285425423,16,65.34635886
Jordy Nelson,WR,GB,27,184.3504356,183.1125,184.3504356,21.17402532,9.066854865,3.6826,2.916855145,7,60.3889677
Antonio Brown,WR,PIT,28,182.1750032,182.6683333,182.1750032,24.28698767,9.184918928,3.9326,2.957361599,8,58.21353534
Alshon Jeffery,WR,CHI,29,181.425,183.8641667,181.425,25.3571143,7.29395628,4.2326,2.75566331,9,57.4635321
Frank Gore,RB,SF,30,169.4252374,171.3057143,169.4252374,45.44615128,14.58947762,8.9239,4.141346374,17,51.39648323
Rob Gronkowski,TE,NE,31,155.7025029,154.5908333,155.7025029,35.17532489,22.68931467,10.0652,5.257334931,2,49.92736378
Julius Thomas,TE,DEN,32,155.5999968,155.4166667,155.5999968,33.92209264,13.05600573,8.4978,3.908250251,3,49.82485768
Reggie Bush,RB,DET,33,167.822811,165.2428571,167.822811,38.84478507,21.15986767,8.4239,4.898510893,18,49.79405684
Ryan Mathews,RB,SD,34,167.5520209,167.4457143,167.5520209,42.1877041,9.569992785,6.5739,3.279134301,19,49.52326676
C.J. Spiller,RB,BUF,35,167.4594369,166.6171429,167.4594369,33.55586471,13.01888738,11.3391,4.198806911,20,49.43068272
Randall Cobb,WR,GB,36,170.9749865,171.6891667,170.9749865,29.61496168,9.315497073,2.6913,2.844506852,10,47.01351858
Bishop Sankey,RB,TEN,37,164.5500466,166.4228571,164.5500466,47.21039653,26.68087419,9.7826,5.719515098,21,46.52129246
Vincent Jackson,WR,TB,38,169.424059,169.2114286,169.424059,34.29411863,10.30589291,5.4652,3.254594169,11,45.46259107
Rashad Jennings,RB,NYG,39,163.175507,164.5971429,163.175507,48.21886038,15.49234834,12.0391,4.576106592,22,45.14675288
Matthew Stafford,QB,DET,40,365.8721422,365.595,365.8721422,48.71167944,22.72870495,7.0739,4.951477454,4,44.91813791
Ray Rice,RB,BAL,41,161.9711139,160.1428571,161.9711139,61.00393202,14.12218788,14.0478,4.616025324,23,43.94235978
Joique Bell,RB,DET,42,161.5500824,161.3142857,161.5500824,54.64151949,13.55848004,10.4978,4.17786782,24,43.52132824
Trent Richardson,RB,IND,43,161.0001978,161.6714286,161.0001978,62.58052316,14.0792654,13.8565,4.590869261,25,42.97144364
Andre Johnson,WR,HOU,44,166.6503385,165.8657143,166.6503385,43.99218594,14.90043144,8.9152,4.178734594,12,42.6888706
Chris Johnson,RB,NYJ,45,159.0529095,160.6028571,159.0529095,55.82082639,13.570416,12.5304,4.390465038,26,41.02415534
Ben Tate,RB,CLE,46,155.2248708,153.38,155.2248708,56.84676774,19.40660172,10.3739,4.885155528,27,37.1961167
Larry Fitzgerald,WR,ARI,47,160.9371781,161.9754286,160.9371781,42.46754415,10.99553849,9.8804,3.798128912,13,36.97571017
Nick Foles,QB,PHI,48,357.5464107,359.1625,357.5464107,66.92079307,13.25537277,9.9152,4.080027164,5,36.59240637
Michael Crabtree,WR,SF,49,156.7003254,155.9245714,156.7003254,47.15261579,16.65217446,12.8717,4.805414125,14,32.73885748
Pierre Garcon,WR,WAS,50,156.5356195,157.0985714,156.5356195,37.2143119,12.63104169,5.5326,3.547921651,15,32.57415164
Keenan Allen,WR,SD,51,156.3038043,158.6228571,156.3038043,35.00713096,8.825423233,4.1413,2.93476989,16,32.34233643
Cordarrelle Patterson,WR,MIN,52,156.3002988,156.6254286,156.3002988,53.2805065,19.62803474,8.3152,4.698585124,17,32.33883092
Vernon Davis,TE,SF,53,137.4219588,136.1708333,137.4219588,59.02335888,17.96523925,9.6152,4.628854705,4,31.64681972
Andrew Luck,QB,IND,54,352.4383398,352.6,352.4383398,54.45448184,13.81262776,9.3978,4.09490676,6,31.48433554
Victor Cruz,WR,NYG,55,154.8501209,159.3714286,154.8501209,38.14475175,14.57685707,8.2652,4.071372672,18,30.88865304
Roddy White,WR,ATL,56,154.6476373,154.5485714,154.6476373,46.90516495,9.76046447,9.6978,3.627070992,19,30.68616936
Shane Vereen,RB,NE,57,145.3210912,147.2285714,145.3210912,54.40718094,22.46350479,8.5152,5.068528516,28,27.29233711
Wes Welker,WR,DEN,58,149.3642902,149.6942857,149.3642902,47.19868377,11.28374305,11.3978,3.991232635,20,25.4028223
Tom Brady,QB,NE,59,344.313624,344.5342857,344.313624,72.94935022,18.59127701,9.0565,4.647914585,7,23.35961971
Jordan Cameron,TE,CLE,60,128.85,126.6791667,128.85,61.78965345,8.195196764,13.5391,3.833316828,5,23.07486091
Michael Floyd,WR,ARI,61,146.25,147.54,146.25,54.94471843,9.526604352,7.6652,3.387145291,21,22.2885321
Matt Ryan,QB,ATL,62,343.0251037,342.6825,343.0251037,73.2344052,15.82427046,15.1543,4.940558289,8,22.07109942
Lamar Miller,RB,MIA,63,140.0002091,134.34,140.0002091,74.00774742,25.07252338,12.8478,5.839841562,29,21.97145492
Torrey Smith,WR,BAL,64,144.5629612,146.72,144.5629612,59.50778074,10.83846765,10.8804,3.882657284,22,20.60149329
DeSean Jackson,WR,WAS,65,144.532377,144.3631429,144.532377,54.83893702,8.51720304,7.8739,3.28452203,23,20.57090915
Pierre Thomas,RB,NO,66,138.3751469,136.4714286,138.3751469,80.64031989,10.48688523,10.9652,3.848170476,30,20.34639279
Jason Witten,TE,DAL,67,125.8426129,124.4291667,125.8426129,75.01099633,6.53833476,7.5739,3.009676387,6,20.06747375
Percy Harvin,WR,SEA,68,144.0249346,142.7085714,144.0249346,50.3994002,18.70208799,9.8152,4.740366845,24,20.06346671
Fred Jackson,RB,BUF,69,138.0102935,137.7828571,138.0102935,93.5032989,17.94052343,14.013,5.082613245,31,19.98153941
Colin Kaepernick,QB,SF,70,339.9037574,345.6825,339.9037574,87.41296235,25.94337887,11.9891,5.857887937,9,18.94975311
Tony Romo,QB,DAL,71,339.7796831,338.82,339.7796831,85.19343552,16.27683835,12.9565,4.768002207,10,18.82567877
Stevan Ridley,RB,NE,72,136.1750848,141.3771429,136.1750848,71.06752749,17.48018579,12.8891,4.909185559,32,18.14633071
Steven Jackson,RB,ATL,73,136.0714012,130.0971429,136.0714012,75.35913029,27.43175949,14.8565,6.339010668,33,18.04264706
Robert Griffin III,QB,WAS,74,338.7887384,339.9675,338.7887384,70.01812729,14.62608799,11.4891,4.412303564,11,17.83473408
Maurice Jones-Drew,RB,OAK,75,135.6027714,134.9,135.6027714,83.93502166,11.47792913,13.2565,4.208209646,34,17.57401722
Dennis Pitta,TE,BAL,76,122.5285181,121.5875,122.5285181,97.30264912,11.66018102,15.2043,4.43297191,7,16.753379
Mike Wallace,WR,MIA,77,140.1753004,139.7505714,140.1753004,66.06424525,8.427320367,9.4652,3.438742864,25,16.21383251
Cam Newton,QB,CAR,78,336.145878,339.2725,336.145878,77.79153615,13.24290403,17.5543,4.87196963,12,15.19187373
Marques Colston,WR,NO,79,135.9752976,135.2942857,135.9752976,74.65126624,7.466337153,11.0565,3.485693462,26,12.01382971
Jeremy Maclin,WR,PHI,80,135.8752888,138.8714286,135.8752888,66.7428857,16.66850466,12.2978,4.747813742,27,11.91382094
Greg Olsen,TE,CAR,81,117.5657373,116.2208333,117.5657373,83.17082639,5.426110815,12.9717,3.433386138,8,11.79059824
T.Y. Hilton,WR,IND,82,135.694708,137.1662857,135.694708,62.90126624,10.33527201,12.1065,3.948047833,28,11.73324012
Jordan Reed,TE,WAS,83,117.4746117,118.1041667,117.4746117,80.02272576,13.6367086,8.6239,3.992858028,9,11.69947264
Julian Edelman,WR,NE,84,135.5121105,136.8168571,135.5121105,75.65324892,9.0478561,12.3978,3.819768635,29,11.55064263
Emmanuel Sanders,WR,DEN,85,133.2918639,135.4868571,133.2918639,77.00913029,11.22259456,12.1978,4.066799086,30,9.330396009
Eric Decker,WR,NYJ,86,132.9254074,137.1771429,132.9254074,85.52142619,16.14774052,10.4978,4.496718021,31,8.963939505
Kyle Rudolph,TE,MIN,87,114.5002202,112.9,114.5002202,100.0188271,11.60095439,15.8456,4.492290761,10,8.725081074
DeAngelo Williams,RB,CAR,88,125.766304,125.4514286,125.766304,112.6976307,18.48537388,13.0391,5.048548375,35,7.737549848
Danny Woodhead,RB,SD,89,125.3615384,123.96,125.3615384,104.12011,10.29294719,14.3217,4.172929968,36,7.332784228
Kendall Wright,WR,TEN,90,130.9204646,133.3037143,130.9204646,82.90516495,10.01939857,10.0478,3.695311713,32,6.958996709
Jay Cutler,QB,CHI,91,327.5254208,327.94,327.5254208,92.68120626,17.23786309,14.1891,5.014376912,13,6.571416525
Golden Tate,WR,DET,92,129.3300433,129.1397143,129.3300433,81.61497834,15.37725702,13.2891,4.691772113,33,5.368575441
Russell Wilson,QB,SEA,93,324.8466937,327.1542857,324.8466937,106.9874342,12.13064282,17.1304,4.690971315,14,3.89268939
Reggie Wayne,WR,IND,94,127.5070841,127.1491429,127.5070841,87.50326558,14.14819995,14.413,4.657162081,34,3.545616237
Terrance Williams,WR,DAL,95,126.8308626,128.4948571,126.8308626,83.85773076,10.07188638,10.9652,3.797066128,35,2.869394734
Sammy Watkins,WR,BUF,96,126.6035411,127.5342857,126.6035411,86.84406864,13.14380173,11.2065,4.20041604,36,2.642073162
Philip Rivers,QB,SD,97,320.8118622,321.9557143,320.8118622,104.8356714,9.883928032,15.3065,4.224853748,15,-0.142142089
Bernard Pierce,RB,BAL,98,115.9999985,112.3914286,115.9999985,96.53637121,20.97036458,11.7239,5.217947831,37,-2.028755603
Zach Ertz,TE,PHI,99,102.35,103.3828571,102.35,114.9762014,10.1006129,18.3108,4.563595494,11,-3.425139104
Ben Roethlisberger,QB,PIT,100,317.203457,315.68,317.203457,113.4249537,20.34261443,15.2304,5.504866839,16,-3.750547301
Martellus Bennett,TE,CHI,101,100.4751971,102.0571429,100.4751971,128.02016,8.861527333,13.7304,3.93524145,12,-5.299941969
Terrance West,RB,CLE,102,112.7247255,112.9228571,112.7247255,98.55129957,23.88722512,17.1891,6.144813408,38,-5.304028625
Dwayne Bowe,WR,KC,103,118.45,118.1228571,118.45,105.447934,14.18164474,12.0391,4.414702165,37,-5.511467896
Charles Clay,TE,MIA,104,98.94945932,99.84535714,98.94945932,131.9166667,9.252611729,17.713,4.397075947,13,-6.825679783
Rueben Randle,WR,NYG,105,116.499993,116.5571429,116.499993,109.2441686,12.02465721,15.5804,4.51692046,38,-7.461474876
Cecil Shorts,WR,JAC,106,116.1346498,116.5571429,116.1346498,110.3096301,12.78173921,15.0978,4.560022119,39,-7.826818111
Knowshon Moreno,RB,MIA,107,109.0252975,109.28,109.0252975,109.37011,17.20442911,17.1891,5.321871543,39,-9.003456675
Ladarius Green,TE,SD,108,96.14630664,97.05142857,96.14630664,127.55,11.0687032,19.37495,4.793343274,14,-9.628832467
Riley Cooper,WR,PHI,109,113.7503728,114.5116667,113.7503728,104.1604465,14.59529605,16.0891,4.886316505,40,-10.2110951
Heath Miller,TE,PIT,110,95.50027045,94.90285714,95.50027045,146.5,9.849437983,10.35,3.705771894,15,-10.27486865
Darren McFadden,RB,OAK,111,107.250085,105.6628571,107.250085,108.9883039,18.9196421,14.8478,5.289896372,40,-10.7786691
Jeremy Hill,RB,CIN,112,107.1831515,105.5385714,107.1831515,108.6553001,17.5623972,16.5891,5.30363057,41,-10.84560267
Delanie Walker,TE,TEN,113,94.81449412,95.55714286,94.81449412,151.7,4.184893467,15.2,3.51199334,16,-10.96064498
Brian Hartline,WR,MIA,114,112.4997631,110.6,112.4997631,125.4,15.0357463,16.9,5.024783693,41,-11.46170475
Brandin Cooks,WR,NO,115,112.2637435,114.2008571,112.2637435,97.61296235,21.57949236,17.1304,5.854534269,42,-11.6977244
Mike Evans,WR,TB,116,111.9393603,109.8714286,111.9393603,101.2896201,14.20826386,11.6065,4.37304571,43,-12.02210762
DeAndre Hopkins,WR,HOU,117,110.2251815,112.6114286,110.2251815,119.45,11.31175116,12.0391,4.061293865,44,-13.73628645
Darren Sproles,RB,PHI,118,104.1506264,105.6171429,104.1506264,99.8377041,15.55181815,12.8978,4.672623588,42,-13.87812777
Kelvin Benjamin,WR,CAR,119,110.0751856,110.6971429,110.0751856,111.5811896,9.111844725,17.6217,4.370258041,45,-13.88628233
Antonio Gates,TE,SD,120,91.8152129,92.97142857,91.8152129,145.25,9.803522205,7.85,3.440441169,17,-13.95992621
Greg Jennings,WR,MIN,121,107.8324417,107.7257143,107.8324417,121.3,15.89989518,20.3,5.484357921,46,-16.12902624
Andy Dalton,QB,CIN,122,304.7419935,306.7771429,304.7419935,130.2769231,11.11880603,15.6478,4.412371794,17,-16.21201085
Anquan Boldin,WR,SF,123,106.5065779,108.5388571,106.5065779,116.0916195,11.0117193,14.613,4.291699477,47,-17.45489004
Justin Hunter,WR,TEN,124,105.9121872,106.4151429,105.9121872,124,15.46087427,15.42715,4.92414956,48,-18.04928069
Dwayne Allen,TE,IND,125,87.0247595,84.92285714,87.0247595,153.1,14.83112878,16.3,4.937264047,18,-18.75037961
Doug Baldwin,WR,SEA,126,105.1684353,104.758,105.1684353,140.9,14.12012967,23.4,5.587190504,49,-18.7930326
Kenny Stills,WR,NO,127,104.8728895,103.3171429,104.8728895,129.7536151,11.08961333,15.0065,4.34216469,50,-19.08857841
Chris Ivory,RB,NYJ,128,98.04998799,100.3142857,98.04998799,129.125,16.99500655,24.4629,6.051616526,43,-19.97876614
Andre Williams,RB,NYG,129,97.85110394,101.4085714,97.85110394,126.7,31.32417992,28,8.183559591,44,-20.17765019
Jarrett Boykin,WR,GB,130,103.6750718,104.4457143,103.6750718,136.9359388,7.095739835,14.6739,3.81579838,51,-20.28639607
Hakeem Nicks,WR,IND,131,103.3445742,101.4885714,103.3445742,112.4597468,12.99959706,19.4456,5.038458464,52,-20.61689369
Khiry Robinson,RB,NO,132,97.355,97.91714286,97.355,122.8097468,27.12243773,21.1217,6.951689842,45,-20.67375413
Alex Smith,QB,KC,133,299.5716781,300.8885714,299.5716781,147.9,22.66945921,18.3,6.110243489,18,-21.38232622
Danny Amendola,WR,NE,134,101.9499629,97.69685714,101.9499629,129.6026316,25.39571083,15.1478,6.118542329,53,-22.01150498
Jared Cook,TE,STL,135,83.00001275,84.42857143,83.00001275,167.4,8.623969918,19.3,4.484505534,19,-22.77512636
Tavon Austin,WR,STL,136,101.1300246,99.56771429,101.1300246,119.9751749,19.85520119,15.6304,5.486393382,54,-22.83144326
Garrett Graham,TE,HOU,137,82.49984717,80.74,82.49984717,163.2,15.16804285,20.9,5.456557537,20,-23.27529193
James Jones,WR,OAK,138,99.35010616,103.6114286,99.35010616,136.8388889,19.20736466,17.8478,5.636939294,55,-24.61136173
Carlos Hyde,RB,SF,139,92.185,94.90571429,92.185,126.7,26.61709154,18.9391,6.662751846,46,-25.84375413
Eric Ebron,TE,DET,140,79.75,79.80857143,79.75,143.7006831,11.07124117,27.0673,5.592664825,21,-26.0251391
Markus Wheaton,WR,PIT,141,97.54840837,96.67228571,97.54840837,129.85,19.85657778,13.5652,5.272049334,56,-26.41305952
Robert Woods,WR,BUF,142,96.2747206,95.71085714,96.2747206,161.5,18.20264345,23.5,6.100311973,57,-27.6867473
Devonta Freeman,RB,ATL,143,90.15013243,92.84285714,90.15013243,123.1488926,28.62836589,17.3304,6.743330265,47,-27.87862171
Mark Ingram,RB,NO,144,89.35553472,93.14571429,89.35553472,123.9,21.90872842,19.8,6.172370455,48,-28.67321942
Harry Douglas,WR,ATL,145,95.075,95.80857143,95.075,160.6,12.13683884,26.1,5.623412057,58,-28.8864679
