"name","name_cbs2","pos","team_cbs2","positionRank_cbs2","overallRank_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","passCompPct_cbs2","passYdsPerAtt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushYdsPerAtt_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recYdsPerRec_cbs2","recTds_cbs2","twoPts_cbs2","fumbles_cbs2","pts_cbs2"
"MIKEWILLIAMS","Mike Williams","WR","BUF",73,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,556,13.6,4,NA,0,71
"SCOTTCHANDLER","Scott Chandler","TE","BUF",24,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,561,12.2,4,NA,1,71
"CHADHENNE","Chad Henne","QB","JAC",36,181,202,118,1415,7,10,58.4,7,18,50,2.8,0,NA,NA,NA,NA,NA,2,69
"CHRISIVORY","Chris Ivory","RB","NYJ",48,181,NA,NA,NA,NA,NA,NA,NA,141,535,3.8,4,4,21,5.2,0,NA,1,69
"THADLEWIS","Thad Lewis","QB","BUF",37,183,196,117,1243,5,2,59.7,6.3,8,18,2.2,0,NA,NA,NA,NA,NA,1,68
"NATEWASHINGTON","Nate Washington","WR","TEN",75,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,524,13.1,4,NA,0,68
"JACEAMARO","Jace Amaro","TE","NYJ",25,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,512,13.5,4,NA,0,68
"BRIANHOYER","Brian Hoyer","QB","CLE",38,186,146,87,947,9,7,59.6,6.5,8,15,1.9,0,NA,NA,NA,NA,NA,2,67
"TREMASON","Tre Mason","RB","STL",49,186,NA,NA,NA,NA,NA,NA,NA,126,557,4.4,3,15,90,6,0,NA,1,67
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",76,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,562,14.1,3,NA,0,67
"MYCHALRIVERA","Mychal Rivera","TE","OAK",26,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,510,11.6,4,NA,0,67
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",77,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,588,13.1,3,NA,1,66
"DONNIEAVERY","Donnie Avery","WR","KC",78,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,553,12.6,3,NA,0,65
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",50,192,NA,NA,NA,NA,NA,NA,NA,131,535,4.1,3,11,63,5.7,0,NA,1,64
"DARRENMCFADDEN","Darren McFadden","RB","OAK",50,192,NA,NA,NA,NA,NA,NA,NA,101,399,4,4,20,147,7.3,1,NA,2,64
"ANDREROBERTS","Andre Roberts","WR","WAS",79,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,542,11.1,3,NA,0,64
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",52,195,NA,NA,NA,NA,NA,NA,NA,69,288,4.2,0,48,390,8.1,2,NA,1,62
"MARKINGRAM","Mark Ingram","RB","NO",53,196,NA,NA,NA,NA,NA,NA,NA,108,455,4.2,4,4,27,6.8,0,NA,1,60
"KNILEDAVIS","Knile Davis","RB","KC",53,196,NA,NA,NA,NA,NA,NA,NA,99,462,4.7,3,13,126,9.7,0,NA,0,60
"LEVINETOILOLO","Levine Toilolo","TE","ATL",27,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,434,12.8,4,NA,0,60
"BRANDONLAFELL","Brandon LaFell","WR","NE",80,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,484,14.2,3,NA,0,59
"BRANDONBOSTICK","Brandon Bostick","TE","GB",28,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,463,15.4,4,NA,1,59
"JEROMESIMPSON","Jerome Simpson","WR","MIN",81,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,528,13.9,2,NA,0,58
"AUSTINPETTIS","Austin Pettis","WR","STL",82,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,401,10.8,4,NA,0,57
"DAVANTEADAMS","Davante Adams","WR","GB",82,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,485,14.3,3,NA,1,57
"ALLENHURNS","Allen Hurns","WR","JAC",84,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,509,12.7,2,NA,0,55
"JARVISLANDRY","Jarvis Landry","WR","MIA",84,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,401,12.2,4,NA,1,55
"TYLEREIFERT","Tyler Eifert","TE","CIN",29,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,391,12.6,4,NA,0,55
"LANCEDUNBAR","Lance Dunbar","RB","DAL",55,207,NA,NA,NA,NA,NA,NA,NA,82,333,4.1,1,37,315,8.5,0,NA,0,54
"JAMESSTARKS","James Starks","RB","GB",56,208,NA,NA,NA,NA,NA,NA,NA,96,401,4.2,3,11,90,8.2,0,NA,1,53
"JAMESWHITE","James White","RB","NE",56,208,NA,NA,NA,NA,NA,NA,NA,91,381,4.2,3,16,120,7.5,0,NA,0,53
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",58,210,NA,NA,NA,NA,NA,NA,NA,97,382,3.9,3,14,98,7,0,NA,0,52
"ADRIENROBINSON","Adrien Robinson","TE","NYG",30,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,418,12.7,3,NA,0,52
